# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 0.14 0.24 0.12 2/183 30087          

T: 3 (30087) P:80 I:1000 C:    336 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    346 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    346 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    346 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    346 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    356 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    356 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    356 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    356 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    366 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    366 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    366 Min:     10 Act:   13 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    366 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    376 Min:     10 Act:   11 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    376 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    376 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    376 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    387 Min:     10 Act:   15 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    387 Min:     11 Act:   16 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    386 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    386 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    397 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    397 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    396 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    397 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    407 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    407 Min:     11 Act:   11 Avg:   12 Max:      19
T: 2 (30086) P:80 I:1000 C:    407 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    407 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    417 Min:     10 Act:   14 Avg:   13 Max:      19
